State,Month,Year,Incident,Animal,Severity,Monetary_Impact
Maharashtra,6,2019,Conflict with humans,Elephant,High,493
Odisha,12,2021,Injury/Death,Snake,Critical,750
West Bengal,9,2021,Conflict with humans,Elephant,Critical,427
West Bengal,9,2025,Wild animal entering populated area,Rhino,Low,92
West Bengal,2,2025,Conflict with humans,Tiger,High,149
Kerala,10,2022,Conflict with humans,Deer,Low,85
Rajasthan,1,2018,Conflict with humans,Bear,Medium,205
Maharashtra,2,2024,Conflict with humans,Leopard,Medium,181
Uttar Pradesh,5,2018,Smuggling,Deer,Medium,191
West Bengal,4,2024,Wild animal entering populated area,Elephant,High,449
Uttar Pradesh,4,2022,Trap/Accident,Bear,High,81
Himachal Pradesh,9,2024,Wild animal entering populated area,Monkey,Medium,205
Madhya Pradesh,11,2023,Conflict with humans,Leopard,Low,33
Madhya Pradesh,8,2023,Illegal trade,Leopard,High,506
Uttar Pradesh,6,2022,Smuggling,Tiger,Low,105
Odisha,1,2021,Conflict with humans,Elephant,Low,101
Madhya Pradesh,2,2021,Wild animal entering populated area,Deer,Low,119
Tamil Nadu,6,2022,Wild animal entering populated area,Crocodile,Low,58
Karnataka,11,2022,Illegal trade,Leopard,High,116
Rajasthan,2,2023,Wild animal entering populated area,Bear,Critical,246
Maharashtra,10,2019,Trap/Accident,Bear,Low,79
Kerala,5,2019,Illegal trade,Tiger,High,85
Uttar Pradesh,5,2021,Wild animal entering populated area,Monkey,Medium,93
Rajasthan,6,2019,Wild animal entering populated area,Deer,Medium,78
Uttar Pradesh,6,2022,Wild animal entering populated area,Wild Boar,Critical,575
Uttar Pradesh,6,2022,Wild animal entering populated area,Monkey,Low,84
West Bengal,2,2021,Wild animal entering populated area,Elephant,High,141
Karnataka,10,2024,Smuggling,Deer,Medium,119
Odisha,3,2023,Wild animal entering populated area,Monkey,Low,92
Assam,6,2021,Conflict with humans,Elephant,Low,19
Uttar Pradesh,8,2020,Wild animal entering populated area,Elephant,High,500
West Bengal,12,2022,Conflict with humans,Rhino,Medium,97
Himachal Pradesh,11,2025,Poaching,Rhino,High,148
Goa,12,2024,Wild animal entering populated area,Crocodile,Low,42
Rajasthan,1,2025,Smuggling,Leopard,High,353
Tamil Nadu,1,2024,Wild animal entering populated area,Elephant,Medium,69
West Bengal,11,2019,Wild animal entering populated area,Elephant,Low,137
Karnataka,2,2023,Wild animal entering populated area,Monkey,Low,92
Rajasthan,11,2022,Injury/Death,Deer,Low,114
Karnataka,12,2021,Trap/Accident,Crocodile,High,254
Uttar Pradesh,12,2022,Wild animal entering populated area,Elephant,Low,19
West Bengal,6,2023,Poaching,Tiger,Low,133
Tamil Nadu,9,2025,Smuggling,Tiger,Low,91
Uttar Pradesh,4,2019,Conflict with humans,Elephant,Medium,150
Karnataka,3,2021,Poaching,Deer,Medium,30
Assam,12,2022,Wild animal entering populated area,Elephant,High,385
Tamil Nadu,8,2018,Wild animal entering populated area,Elephant,Low,63
Madhya Pradesh,11,2020,Trap/Accident,Deer,Critical,514
Tamil Nadu,10,2021,Injury/Death,Snake,Medium,171
Karnataka,9,2020,Wild animal entering populated area,Monkey,Critical,337
Maharashtra,12,2022,Injury/Death,Cheetah,Low,20
Rajasthan,11,2021,Illegal trade,Bear,High,337
Karnataka,5,2020,Wild animal entering populated area,Elephant,Medium,161
Maharashtra,9,2022,Injury/Death,Snake,Medium,135
Karnataka,2,2019,Conflict with humans,Rhino,High,207
Karnataka,3,2025,Conflict with humans,Wild Boar,Low,127
Uttar Pradesh,7,2025,Wild animal entering populated area,Crocodile,Low,95
Uttar Pradesh,7,2021,Wild animal entering populated area,Lion,High,525
Maharashtra,6,2024,Wild animal entering populated area,Crocodile,Medium,86
Odisha,6,2023,Wild animal entering populated area,Wild Boar,High,526
Maharashtra,2,2023,Conflict with humans,Elephant,Low,47
Kerala,10,2018,Conflict with humans,Tiger,Medium,43
Karnataka,6,2021,Wild animal entering populated area,Crocodile,High,236
Uttar Pradesh,4,2020,Wild animal entering populated area,Wild Boar,Low,93
Odisha,12,2020,Trap/Accident,Deer,Low,53
Madhya Pradesh,3,2024,Poaching,Leopard,Medium,135
Uttar Pradesh,11,2020,Poaching,Leopard,Medium,201
Assam,2,2024,Illegal trade,Tiger,Medium,79
Kerala,1,2024,Wild animal entering populated area,Elephant,High,331
Tamil Nadu,11,2021,Conflict with humans,Wild Boar,Low,42
Rajasthan,11,2020,Conflict with humans,Leopard,Medium,214
Rajasthan,5,2025,Poaching,Leopard,Low,25
Uttar Pradesh,2,2021,Illegal trade,Leopard,High,241
Assam,2,2018,Trap/Accident,Rhino,Critical,337
Maharashtra,7,2019,Conflict with humans,Snake,Low,44
Kerala,8,2021,Poaching,Tiger,Medium,146
Uttar Pradesh,10,2024,Poaching,Tiger,Low,76
West Bengal,8,2024,Wild animal entering populated area,Elephant,Medium,72
Uttar Pradesh,4,2022,Conflict with humans,Elephant,High,331
Tamil Nadu,1,2021,Conflict with humans,Rhino,Low,113
Tamil Nadu,11,2025,Conflict with humans,Leopard,High,477
Rajasthan,7,2025,Wild animal entering populated area,Bear,High,186
Odisha,1,2020,Conflict with humans,Crocodile,Medium,121
Karnataka,11,2025,Poaching,Tiger,High,524
Maharashtra,4,2020,Poaching,Monkey,Low,93
Maharashtra,8,2023,Wild animal entering populated area,Wild Boar,Medium,47
Madhya Pradesh,2,2024,Conflict with humans,Deer,Medium,96
Odisha,6,2024,Wild animal entering populated area,Monkey,Low,74
Karnataka,6,2022,Wild animal entering populated area,Rhino,Low,113
Rajasthan,12,2019,Poaching,Leopard,Low,92
West Bengal,9,2023,Wild animal entering populated area,Rhino,High,119
Karnataka,5,2025,Illegal trade,Deer,High,97
Kerala,10,2019,Conflict with humans,Tiger,Medium,40
Tamil Nadu,4,2025,Smuggling,Monkey,High,201
Himachal Pradesh,5,2022,Smuggling,Tiger,High,251
Uttar Pradesh,12,2021,Illegal trade,Tiger,Low,56
Assam,12,2019,Conflict with humans,Rhino,High,420
Madhya Pradesh,10,2024,Conflict with humans,Leopard,Medium,116
Uttar Pradesh,11,2022,Wild animal entering populated area,Elephant,Medium,66
Tamil Nadu,5,2023,Conflict with humans,Wild Boar,Low,55
West Bengal,8,2024,Wild animal entering populated area,Rhino,High,453
Maharashtra,10,2024,Conflict with humans,Elephant,Low,56
Karnataka,12,2022,Injury/Death,Deer,Medium,55
Kerala,8,2020,Injury/Death,Snake,Medium,194
Tamil Nadu,2,2022,Conflict with humans,Monkey,Low,100
West Bengal,7,2025,Wild animal entering populated area,Rhino,Medium,130
Rajasthan,8,2020,Wild animal entering populated area,Deer,Low,74
Madhya Pradesh,11,2019,Conflict with humans,Bear,Medium,158
Maharashtra,6,2021,Wild animal entering populated area,Wild Boar,High,512
Karnataka,5,2022,Injury/Death,Snake,Critical,816
Karnataka,11,2022,Wild animal entering populated area,Bear,High,188
Tamil Nadu,9,2018,Wild animal entering populated area,Deer,Low,106
Tamil Nadu,3,2023,Wild animal entering populated area,Elephant,Low,16
Himachal Pradesh,12,2025,Wild animal entering populated area,Elephant,Critical,358
West Bengal,10,2018,Illegal trade,Tiger,High,106
Tamil Nadu,4,2021,Illegal trade,Monkey,Low,27
Uttar Pradesh,9,2023,Conflict with humans,Elephant,Critical,591
Madhya Pradesh,6,2019,Wild animal entering populated area,Deer,Low,59
Tamil Nadu,8,2022,Wild animal entering populated area,Deer,Medium,81
Rajasthan,7,2023,Wild animal entering populated area,Bear,Low,120
Odisha,11,2021,Conflict with humans,Elephant,Medium,29
Uttar Pradesh,2,2020,Trap/Accident,Crocodile,Medium,58
Karnataka,3,2024,Wild animal entering populated area,Deer,Low,91
Maharashtra,1,2020,Illegal trade,Bear,Low,88
Assam,9,2022,Wild animal entering populated area,Elephant,Low,73
West Bengal,7,2020,Wild animal entering populated area,Rhino,High,310
Odisha,1,2024,Illegal trade,Monkey,High,262
Assam,3,2024,Conflict with humans,Elephant,Low,124
Maharashtra,4,2023,Smuggling,Bear,Medium,146
Karnataka,4,2023,Conflict with humans,Lion,Medium,99
Goa,5,2020,Smuggling,Deer,Low,110
Maharashtra,3,2025,Conflict with humans,Snake,High,215
Madhya Pradesh,3,2022,Trap/Accident,Bear,Low,44
Rajasthan,1,2023,Injury/Death,Bear,High,175
Maharashtra,7,2022,Poaching,Tiger,High,117
Uttar Pradesh,11,2019,Conflict with humans,Deer,Low,57
Kerala,10,2022,Smuggling,Wild Boar,Critical,215
Maharashtra,1,2022,Conflict with humans,Snake,Medium,213
Karnataka,2,2019,Trap/Accident,Deer,Low,52
Karnataka,4,2020,Conflict with humans,Leopard,Medium,205
West Bengal,4,2024,Wild animal entering populated area,Lion,Medium,77
Madhya Pradesh,5,2019,Injury/Death,Deer,Medium,136
Tamil Nadu,11,2022,Injury/Death,Monkey,Medium,243
Karnataka,2,2021,Poaching,Deer,Medium,129
Tamil Nadu,4,2024,Smuggling,Monkey,High,142
West Bengal,1,2021,Poaching,Tiger,Low,65
Maharashtra,2,2022,Smuggling,Wild Boar,Medium,187
Madhya Pradesh,1,2018,Poaching,Leopard,Medium,42
Maharashtra,10,2018,Wild animal entering populated area,Elephant,High,518
West Bengal,10,2025,Wild animal entering populated area,Elephant,Low,100
Madhya Pradesh,4,2018,Poaching,Leopard,Low,100
Tamil Nadu,4,2023,Smuggling,Tiger,High,102
Uttar Pradesh,7,2021,Wild animal entering populated area,Deer,Low,59
Goa,10,2021,Conflict with humans,Elephant,Medium,73
Rajasthan,11,2025,Wild animal entering populated area,Deer,Low,85
Tamil Nadu,11,2024,Illegal trade,Monkey,Low,40
Uttar Pradesh,9,2019,Wild animal entering populated area,Crocodile,High,429
Odisha,9,2018,Wild animal entering populated area,Wild Boar,Medium,216
Assam,5,2019,Wild animal entering populated area,Rhino,Medium,95
Karnataka,10,2022,Trap/Accident,Wild Boar,Low,112
Rajasthan,1,2022,Poaching,Leopard,Low,41
West Bengal,1,2018,Poaching,Tiger,Medium,221
West Bengal,6,2025,Wild animal entering populated area,Elephant,Low,113
Rajasthan,2,2025,Conflict with humans,Leopard,Low,98
Rajasthan,8,2022,Wild animal entering populated area,Bear,High,127
West Bengal,9,2022,Wild animal entering populated area,Elephant,Low,54
Tamil Nadu,4,2022,Poaching,Leopard,High,389
Tamil Nadu,5,2019,Smuggling,Deer,Low,47
Rajasthan,11,2023,Conflict with humans,Leopard,Low,65
Kerala,8,2025,Poaching,Lion,Low,66
Uttarakhand,3,2020,Injury/Death,Wild Boar,Low,45
Tamil Nadu,5,2018,Conflict with humans,Elephant,Low,96
Karnataka,3,2018,Conflict with humans,Tiger,Low,107
Tamil Nadu,12,2022,Smuggling,Leopard,Low,25
Himachal Pradesh,10,2019,Wild animal entering populated area,Wild Boar,Medium,221
Kerala,3,2024,Wild animal entering populated area,Bear,Low,43
Madhya Pradesh,3,2019,Smuggling,Bear,Low,60
Tamil Nadu,12,2020,Poaching,Tiger,Low,98
Uttar Pradesh,7,2021,Wild animal entering populated area,Monkey,Low,79
Maharashtra,7,2020,Conflict with humans,Elephant,Low,111
Odisha,7,2023,Wild animal entering populated area,Elephant,Low,53
Odisha,10,2025,Smuggling,Tiger,Low,118
Uttar Pradesh,8,2020,Wild animal entering populated area,Monkey,Medium,219
Maharashtra,5,2022,Illegal trade,Deer,Low,58
Uttar Pradesh,5,2025,Illegal trade,Wild Boar,High,205
Tamil Nadu,4,2021,Conflict with humans,Tiger,High,456
Karnataka,7,2022,Conflict with humans,Elephant,Low,100
Maharashtra,10,2020,Conflict with humans,Snake,High,178
Tamil Nadu,4,2023,Conflict with humans,Elephant,Low,38
Uttar Pradesh,2,2022,Illegal trade,Leopard,Critical,446
Rajasthan,4,2022,Wild animal entering populated area,Deer,Critical,535
Uttar Pradesh,8,2021,Conflict with humans,Elephant,Low,89
Karnataka,9,2020,Conflict with humans,Elephant,Low,85
Assam,3,2019,Wild animal entering populated area,Elephant,Critical,907
Uttar Pradesh,7,2023,Conflict with humans,Leopard,Low,43
Tamil Nadu,12,2024,Conflict with humans,Leopard,High,347
Karnataka,9,2020,Wild animal entering populated area,Monkey,Critical,264
Uttar Pradesh,11,2021,Conflict with humans,Bear,Critical,489
Karnataka,4,2022,Smuggling,Leopard,Critical,849
Kerala,10,2023,Conflict with humans,Elephant,Critical,616
Madhya Pradesh,3,2021,Wild animal entering populated area,Deer,Medium,84
Kerala,5,2024,Wild animal entering populated area,Deer,Low,111
West Bengal,1,2025,Smuggling,Lion,Low,57
Tamil Nadu,3,2022,Trap/Accident,Crocodile,Low,111
Assam,8,2024,Wild animal entering populated area,Rhino,Low,64
Kerala,11,2021,Poaching,Tiger,High,96
Uttar Pradesh,8,2023,Conflict with humans,Elephant,Low,128
Madhya Pradesh,4,2024,Poaching,Deer,Medium,104
Karnataka,2,2022,Wild animal entering populated area,Elephant,Low,145
Tamil Nadu,8,2022,Wild animal entering populated area,Wild Boar,Low,49
West Bengal,8,2021,Illegal trade,Tiger,Medium,87
West Bengal,10,2022,Wild animal entering populated area,Rhino,Medium,194
Tamil Nadu,4,2021,Illegal trade,Crocodile,High,457
West Bengal,3,2023,Conflict with humans,Tiger,Low,104
Karnataka,2,2018,Injury/Death,Snake,Low,137
Maharashtra,9,2019,Poaching,Tiger,Low,30
Maharashtra,1,2018,Conflict with humans,Deer,Low,38
Rajasthan,7,2022,Smuggling,Leopard,Medium,116
Karnataka,5,2022,Trap/Accident,Monkey,Medium,179
Maharashtra,8,2020,Wild animal entering populated area,Monkey,Critical,96
Karnataka,4,2024,Trap/Accident,Deer,Low,125
Assam,7,2023,Wild animal entering populated area,Elephant,High,54
Assam,5,2025,Trap/Accident,Rhino,Critical,578
Karnataka,5,2021,Wild animal entering populated area,Monkey,Critical,361
Karnataka,9,2018,Wild animal entering populated area,Monkey,Low,105
Uttar Pradesh,9,2019,Wild animal entering populated area,Bear,Medium,182
Tamil Nadu,9,2021,Wild animal entering populated area,Deer,Critical,530
Tamil Nadu,12,2024,Poaching,Monkey,Medium,95
Kerala,6,2021,Wild animal entering populated area,Rhino,Medium,144
Odisha,6,2018,Wild animal entering populated area,Wild Boar,Medium,119
Uttar Pradesh,5,2023,Wild animal entering populated area,Wild Boar,High,66
Kerala,9,2021,Wild animal entering populated area,Wild Boar,High,244
Tamil Nadu,10,2023,Injury/Death,Snake,High,499
Madhya Pradesh,8,2019,Conflict with humans,Leopard,High,263
Odisha,7,2021,Wild animal entering populated area,Deer,Low,114
Maharashtra,7,2018,Poaching,Leopard,Medium,233
Kerala,6,2021,Illegal trade,Leopard,Medium,170
Maharashtra,5,2022,Conflict with humans,Elephant,Medium,142
Uttar Pradesh,4,2024,Conflict with humans,Wild Boar,High,87
Karnataka,3,2024,Conflict with humans,Snake,Critical,888
Madhya Pradesh,3,2022,Wild animal entering populated area,Bear,Low,41
Kerala,6,2021,Wild animal entering populated area,Deer,Medium,24
Madhya Pradesh,4,2022,Trap/Accident,Bear,Medium,65
Maharashtra,12,2022,Smuggling,Leopard,Critical,745
Kerala,12,2019,Conflict with humans,Elephant,Medium,171
Karnataka,6,2020,Wild animal entering populated area,Elephant,Low,136
Goa,3,2022,Conflict with humans,Snake,High,125
Uttar Pradesh,4,2024,Conflict with humans,Wild Boar,Medium,218
Assam,9,2024,Conflict with humans,Elephant,Low,21
Maharashtra,5,2018,Conflict with humans,Elephant,Medium,146
Uttar Pradesh,7,2024,Injury/Death,Snake,Critical,916
Kerala,10,2021,Conflict with humans,Rhino,Low,44
Rajasthan,2,2023,Smuggling,Deer,Low,58
Odisha,5,2021,Trap/Accident,Deer,Low,113
Uttar Pradesh,9,2021,Wild animal entering populated area,Bear,High,387
West Bengal,11,2020,Trap/Accident,Rhino,High,219
Tamil Nadu,3,2024,Smuggling,Deer,High,139
Tamil Nadu,9,2022,Wild animal entering populated area,Crocodile,High,330
West Bengal,11,2025,Illegal trade,Tiger,Critical,150
Maharashtra,6,2021,Wild animal entering populated area,Rhino,Low,79
Odisha,4,2019,Conflict with humans,Wild Boar,High,477
Rajasthan,7,2019,Wild animal entering populated area,Deer,Medium,109
Karnataka,8,2021,Conflict with humans,Leopard,Medium,137
West Bengal,6,2021,Wild animal entering populated area,Rhino,Low,53
Karnataka,5,2022,Wild animal entering populated area,Elephant,High,162
Madhya Pradesh,6,2020,Poaching,Leopard,Medium,202
Madhya Pradesh,5,2023,Poaching,Deer,Medium,100
Karnataka,8,2024,Poaching,Leopard,Low,33
Maharashtra,1,2025,Trap/Accident,Bear,Medium,102
West Bengal,11,2025,Poaching,Tiger,High,462
Tamil Nadu,7,2020,Wild animal entering populated area,Rhino,Critical,884
Karnataka,10,2024,Conflict with humans,Wild Boar,Low,52
Tamil Nadu,10,2021,Trap/Accident,Monkey,Medium,192
Maharashtra,11,2024,Poaching,Leopard,Low,86
Kerala,2,2025,Poaching,Monkey,High,407
Maharashtra,9,2018,Wild animal entering populated area,Monkey,Low,70
Maharashtra,1,2023,Conflict with humans,Snake,Low,79
Kerala,11,2018,Poaching,Deer,Critical,935
Himachal Pradesh,10,2019,Poaching,Tiger,Low,87
Rajasthan,6,2024,Wild animal entering populated area,Deer,Medium,107
Tamil Nadu,9,2023,Conflict with humans,Elephant,Low,27
Maharashtra,1,2020,Conflict with humans,Tiger,Medium,221
Karnataka,4,2023,Conflict with humans,Snake,Low,56
Maharashtra,4,2021,Wild animal entering populated area,Monkey,High,149
West Bengal,9,2022,Wild animal entering populated area,Rhino,Critical,82
Odisha,11,2021,Smuggling,Monkey,High,476
Odisha,5,2022,Injury/Death,Deer,Medium,201
West Bengal,5,2021,Conflict with humans,Elephant,Medium,144
Maharashtra,6,2023,Wild animal entering populated area,Deer,Critical,91
West Bengal,1,2022,Wild animal entering populated area,Elephant,High,425
Assam,1,2024,Poaching,Tiger,Low,107
Kerala,9,2025,Wild animal entering populated area,Deer,Low,23
Maharashtra,3,2019,Trap/Accident,Monkey,Medium,123
Karnataka,4,2021,Smuggling,Crocodile,Critical,977
Odisha,1,2022,Conflict with humans,Wild Boar,Low,137
Kerala,9,2018,Conflict with humans,Tiger,Critical,81
Assam,8,2018,Wild animal entering populated area,Rhino,High,406
Kerala,2,2018,Conflict with humans,Tiger,Critical,75
Uttar Pradesh,8,2019,Wild animal entering populated area,Deer,Critical,996
Karnataka,7,2021,Wild animal entering populated area,Cheetah,High,399
West Bengal,11,2023,Wild animal entering populated area,Elephant,Medium,142
Tamil Nadu,6,2021,Poaching,Leopard,Medium,182
Maharashtra,1,2019,Smuggling,Rhino,Low,84
Madhya Pradesh,7,2020,Conflict with humans,Leopard,Medium,46
Uttar Pradesh,10,2025,Conflict with humans,Leopard,Medium,62
Uttar Pradesh,7,2021,Injury/Death,Snake,Low,132
Tamil Nadu,9,2025,Wild animal entering populated area,Monkey,High,185
Assam,1,2025,Conflict with humans,Elephant,Medium,59
Karnataka,2,2025,Injury/Death,Rhino,Low,78
Karnataka,11,2024,Smuggling,Wild Boar,Medium,113
Tamil Nadu,9,2020,Conflict with humans,Leopard,High,200
Assam,9,2024,Wild animal entering populated area,Rhino,High,400
Tamil Nadu,6,2019,Conflict with humans,Elephant,Medium,42
Madhya Pradesh,6,2025,Illegal trade,Leopard,High,63
Madhya Pradesh,4,2018,Wild animal entering populated area,Lion,Medium,125
Rajasthan,4,2021,Poaching,Bear,Critical,485
Maharashtra,5,2022,Wild animal entering populated area,Crocodile,Medium,29
Karnataka,3,2024,Conflict with humans,Wild Boar,Medium,230
Tamil Nadu,1,2020,Poaching,Deer,Low,47
Karnataka,1,2019,Injury/Death,Rhino,Critical,779
Tamil Nadu,12,2019,Injury/Death,Deer,High,465
Maharashtra,7,2022,Wild animal entering populated area,Monkey,Low,101
West Bengal,1,2019,Wild animal entering populated area,Elephant,Medium,119
Tamil Nadu,1,2024,Injury/Death,Monkey,Medium,180
Karnataka,3,2023,Injury/Death,Crocodile,Critical,334
Maharashtra,10,2024,Wild animal entering populated area,Wild Boar,Low,93
Madhya Pradesh,4,2025,Conflict with humans,Bear,Medium,147
Kerala,4,2021,Conflict with humans,Elephant,Medium,139
Karnataka,2,2021,Smuggling,Monkey,Medium,136
Himachal Pradesh,1,2019,Wild animal entering populated area,Rhino,Low,35
West Bengal,3,2022,Wild animal entering populated area,Elephant,Medium,147
Rajasthan,11,2022,Poaching,Deer,Low,58
Uttar Pradesh,4,2023,Smuggling,Deer,High,112
Rajasthan,3,2025,Injury/Death,Deer,Low,94
Uttar Pradesh,8,2021,Wild animal entering populated area,Elephant,Low,27
Rajasthan,10,2023,Smuggling,Bear,Critical,434
West Bengal,1,2020,Conflict with humans,Tiger,Critical,405
Tamil Nadu,2,2020,Wild animal entering populated area,Elephant,Medium,112
West Bengal,7,2020,Wild animal entering populated area,Elephant,Medium,150
Maharashtra,4,2019,Wild animal entering populated area,Deer,Low,42
Uttarakhand,8,2022,Wild animal entering populated area,Deer,Critical,128
Maharashtra,11,2024,Wild animal entering populated area,Elephant,Low,75
Madhya Pradesh,3,2023,Smuggling,Leopard,Medium,126
Maharashtra,6,2023,Wild animal entering populated area,Monkey,High,521
Madhya Pradesh,9,2020,Wild animal entering populated area,Bear,High,482
Karnataka,1,2018,Conflict with humans,Wild Boar,High,243
Uttar Pradesh,1,2025,Illegal trade,Tiger,Low,65
Maharashtra,8,2018,Wild animal entering populated area,Monkey,Low,109
Rajasthan,3,2018,Trap/Accident,Bear,Low,91
Madhya Pradesh,5,2020,Conflict with humans,Bear,Critical,222
West Bengal,1,2024,Wild animal entering populated area,Rhino,High,232
Rajasthan,5,2020,Conflict with humans,Leopard,Medium,136
Assam,11,2019,Injury/Death,Rhino,Medium,134
Goa,6,2020,Illegal trade,Lion,Medium,214
Tamil Nadu,8,2022,Wild animal entering populated area,Deer,Medium,210
West Bengal,3,2022,Illegal trade,Rhino,High,110
Maharashtra,3,2024,Wild animal entering populated area,Deer,High,191
Odisha,12,2023,Smuggling,Deer,High,335
Karnataka,11,2021,Injury/Death,Crocodile,Medium,233
Uttar Pradesh,11,2022,Conflict with humans,Leopard,Medium,197
Madhya Pradesh,10,2019,Wild animal entering populated area,Bear,Medium,69
Maharashtra,9,2022,Conflict with humans,Snake,Medium,147
Goa,4,2025,Injury/Death,Snake,Low,135
Maharashtra,4,2020,Injury/Death,Crocodile,Low,77
Rajasthan,12,2021,Injury/Death,Deer,High,114
Odisha,7,2025,Wild animal entering populated area,Monkey,Low,15
Uttar Pradesh,2,2024,Wild animal entering populated area,Wild Boar,Medium,61
Tamil Nadu,8,2022,Wild animal entering populated area,Rhino,Critical,694
Assam,6,2024,Poaching,Tiger,Medium,96
Madhya Pradesh,3,2020,Illegal trade,Leopard,High,343
Karnataka,9,2020,Wild animal entering populated area,Deer,Low,87
Maharashtra,5,2019,Injury/Death,Wild Boar,Medium,25
Maharashtra,8,2021,Injury/Death,Snake,High,112
Tamil Nadu,7,2024,Illegal trade,Leopard,High,423
Odisha,8,2023,Conflict with humans,Snake,Low,91
Odisha,7,2019,Conflict with humans,Elephant,Medium,69
Maharashtra,3,2024,Trap/Accident,Monkey,Critical,196
Assam,2,2023,Poaching,Tiger,Medium,45
Rajasthan,7,2020,Conflict with humans,Leopard,Low,76
Goa,3,2024,Conflict with humans,Deer,High,310
Rajasthan,3,2020,Conflict with humans,Leopard,High,276
Karnataka,2,2018,Injury/Death,Monkey,Low,109
West Bengal,4,2023,Conflict with humans,Elephant,Critical,186
Karnataka,8,2022,Wild animal entering populated area,Monkey,Critical,705
Uttar Pradesh,1,2025,Conflict with humans,Tiger,Medium,100
Maharashtra,1,2019,Poaching,Leopard,Low,63
West Bengal,12,2021,Conflict with humans,Elephant,Medium,201
Tamil Nadu,5,2019,Trap/Accident,Deer,Low,131
Uttar Pradesh,11,2022,Conflict with humans,Deer,Critical,600
West Bengal,5,2022,Wild animal entering populated area,Elephant,Low,42
Madhya Pradesh,11,2018,Conflict with humans,Bear,Low,62
Karnataka,12,2020,Poaching,Cheetah,Medium,52
Karnataka,1,2019,Conflict with humans,Crocodile,Critical,383
Uttar Pradesh,6,2023,Wild animal entering populated area,Monkey,Critical,190
Tamil Nadu,1,2023,Poaching,Tiger,High,237
Karnataka,5,2021,Conflict with humans,Deer,Low,93
Odisha,9,2020,Wild animal entering populated area,Wild Boar,High,327
Uttar Pradesh,12,2021,Poaching,Bear,Medium,87
Tamil Nadu,5,2022,Wild animal entering populated area,Wild Boar,High,471
Tamil Nadu,6,2022,Wild animal entering populated area,Deer,Low,88
Odisha,8,2022,Injury/Death,Snake,High,290
Tamil Nadu,11,2021,Injury/Death,Monkey,High,439
Tamil Nadu,1,2023,Conflict with humans,Bear,Medium,31
Kerala,2,2023,Smuggling,Bear,Critical,288
Uttar Pradesh,9,2025,Wild animal entering populated area,Monkey,High,532
Assam,3,2020,Illegal trade,Tiger,Medium,191
West Bengal,6,2018,Wild animal entering populated area,Rhino,Critical,616
Rajasthan,5,2018,Conflict with humans,Deer,High,351
Karnataka,11,2020,Poaching,Wild Boar,High,497
Kerala,2,2018,Injury/Death,Wild Boar,Critical,723
Odisha,7,2019,Wild animal entering populated area,Monkey,Low,62
Karnataka,4,2020,Conflict with humans,Deer,Medium,60
Odisha,1,2022,Trap/Accident,Wild Boar,High,321
Uttar Pradesh,4,2023,Conflict with humans,Snake,Medium,157
Uttar Pradesh,6,2021,Wild animal entering populated area,Deer,Low,121
Assam,7,2019,Wild animal entering populated area,Wolf,Medium,166
Odisha,7,2023,Conflict with humans,Leopard,Critical,821
Rajasthan,7,2024,Poaching,Leopard,Medium,161
Uttar Pradesh,3,2020,Poaching,Deer,Low,67
Odisha,6,2020,Injury/Death,Snake,Medium,187
Tamil Nadu,8,2024,Wild animal entering populated area,Monkey,Medium,92
Tamil Nadu,4,2021,Wild animal entering populated area,Monkey,Low,81
Karnataka,8,2020,Wild animal entering populated area,Monkey,Low,43
Madhya Pradesh,2,2022,Injury/Death,Deer,Low,50
Maharashtra,10,2023,Wild animal entering populated area,Elephant,Low,45
Madhya Pradesh,9,2019,Wild animal entering populated area,Bear,Low,69
West Bengal,9,2022,Wild animal entering populated area,Rhino,Low,107
Tamil Nadu,8,2023,Wild animal entering populated area,Deer,Medium,111
Rajasthan,10,2022,Poaching,Leopard,High,352
Goa,10,2021,Illegal trade,Leopard,High,205
Odisha,1,2025,Conflict with humans,Rhino,Medium,48
Karnataka,2,2020,Poaching,Tiger,Low,107
Maharashtra,6,2021,Poaching,Leopard,Low,96
Tamil Nadu,10,2018,Injury/Death,Snake,Medium,82
Maharashtra,5,2020,Injury/Death,Snake,Critical,278
Tamil Nadu,12,2024,Injury/Death,Rhino,Low,93
Rajasthan,9,2019,Wild animal entering populated area,Deer,Medium,34
Karnataka,5,2018,Wild animal entering populated area,Bear,Medium,182
Kerala,2,2022,Conflict with humans,Monkey,High,153
Maharashtra,10,2021,Injury/Death,Bear,Low,111
Uttar Pradesh,4,2019,Poaching,Tiger,Medium,231
Madhya Pradesh,9,2020,Wild animal entering populated area,Bear,Critical,186
Assam,1,2018,Poaching,Tiger,High,502
Assam,11,2023,Conflict with humans,Tiger,Medium,101
Kerala,1,2024,Conflict with humans,Deer,Low,98
Karnataka,12,2022,Conflict with humans,Leopard,Medium,182
Madhya Pradesh,7,2025,Wild animal entering populated area,Bear,Critical,372
West Bengal,11,2022,Wild animal entering populated area,Elephant,Medium,137
Rajasthan,3,2022,Wild animal entering populated area,Deer,Medium,43
Madhya Pradesh,10,2020,Conflict with humans,Leopard,Medium,75
Uttarakhand,2,2019,Illegal trade,Leopard,High,171
Tamil Nadu,9,2024,Wild animal entering populated area,Wild Boar,Medium,133
Assam,3,2022,Poaching,Tiger,Critical,948
Rajasthan,2,2025,Wild animal entering populated area,Bear,High,301
Maharashtra,12,2024,Illegal trade,Leopard,Low,75
